"","P_Value","Type","Method1","Method2","Full_Label"
"1",0.690567639424728,"I","classic","area","I_classic_area"
"2",0.0662840197732236,"O","classic","area","O_classic_area"
"3",0.167538092387015,"I","classic","center","I_classic_center"
"4",0.602918344489922,"O","classic","center","O_classic_center"
"5",0.206458678955675,"I","classic","centertogrid","I_classic_centertogrid"
"6",0.242899287314206,"O","classic","centertogrid","O_classic_centertogrid"
"7",0.228257820928824,"I","classic","reachedgrid","I_classic_reachedgrid"
"8",0.103211736458817,"O","classic","reachedgrid","O_classic_reachedgrid"
"9",0.17760027010684,"I","classic","weighted","I_classic_weighted"
"10",0.401678018041284,"O","classic","weighted","O_classic_weighted"
"11",0.245054284045926,"I","classic","pooling","I_classic_pooling"
"12",0.17588535259923,"O","classic","pooling","O_classic_pooling"
"13",0.0431483574843068,"I","area","center","I_area_center"
"14",0.00124973877121108,"O","area","center","O_area_center"
"15",0.0546795569170088,"I","area","centertogrid","I_area_centertogrid"
"16",0.0133817192870106,"O","area","centertogrid","O_area_centertogrid"
"17",0.159550072391077,"I","area","reachedgrid","I_area_reachedgrid"
"18",0.798895564905417,"O","area","reachedgrid","O_area_reachedgrid"
"19",0.0442502631606788,"I","area","weighted","I_area_weighted"
"20",0.000980005535892227,"O","area","weighted","O_area_weighted"
"21",0.591901503731622,"I","area","pooling","I_area_pooling"
"22",0.1032101105199,"O","area","pooling","O_area_pooling"
"23",0.000497627019427708,"I","center","centertogrid","I_center_centertogrid"
"24",0.249361816361576,"O","center","centertogrid","O_center_centertogrid"
"25",0.0060656858605556,"I","center","reachedgrid","I_center_reachedgrid"
"26",0.110121513629621,"O","center","reachedgrid","O_center_reachedgrid"
"27",0.216179186465592,"I","center","weighted","I_center_weighted"
"28",0.00193614476245936,"O","center","weighted","O_center_weighted"
"29",0.991529299724249,"I","center","pooling","I_center_pooling"
"30",0.383989402941475,"O","center","pooling","O_center_pooling"
"31",0.419787995732162,"I","centertogrid","reachedgrid","I_centertogrid_reachedgrid"
"32",0.000694566598159808,"O","centertogrid","reachedgrid","O_centertogrid_reachedgrid"
"33",0.0106769134085,"I","centertogrid","weighted","I_centertogrid_weighted"
"34",0.110121513629621,"O","centertogrid","weighted","O_centertogrid_weighted"
"35",0.890231041275331,"I","centertogrid","pooling","I_centertogrid_pooling"
"36",0.28121233570939,"O","centertogrid","pooling","O_centertogrid_pooling"
"37",0.00498690929633768,"I","reachedgrid","weighted","I_reachedgrid_weighted"
"38",0.714183573684049,"O","reachedgrid","weighted","O_reachedgrid_weighted"
"39",0.0631937676562187,"I","reachedgrid","pooling","I_reachedgrid_pooling"
"40",0.33136491747212,"O","reachedgrid","pooling","O_reachedgrid_pooling"
"41",0.629088904695539,"I","weighted","pooling","I_weighted_pooling"
"42",0.413697160009139,"O","weighted","pooling","O_weighted_pooling"
